UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,,,,
PA,15,08209,Vigia,"53,191",,,,,,,,,
PA,15,08308,Viseu,"61,049",,,,,,,,,
PA,15,08357,Vitória do Xingu,"14,987",,,,,,,,,
PA,15,08407,Xinguara,"44,410",,,,,,,,,
AP,16,00055,Serra do Navio,"5,306",,,,,,,,,
AP,16,00105,Amapá,"9,029",,,,,,,,,
AP,16,00154,Pedra Branca do Amapari,"15,931",,,,,,,,,
AP,16,00204,Calçoene,"10,926",,,,,,,,,
AP,16,00212,Cutias,"5,864",,,,,,,,,
AP,16,00238,Ferreira Gomes,"7,591",,,,,,,,,
AP,16,00253,Itaubal,"5,387",,,,,,,,,
AP,16,00279,Laranjal do Jari,"49,446",,,,,,,,,
AP,16,00303,Macapá,"493,634",,,,,,,,,
AP,16,00402,Mazagão,"21,206",,,,,,,,,
AP,16,00501,Oiapoque,"26,627",,,,,,,,,
AP,16,00535,Porto Grande,"21,484",,,,,,,,,
AP,16,00550,Pracuúba,"4,993",,,,,,,,,
AP,16,00600,Santana,"119,610",,,,,,,,,
AP,16,00709,Tartarugalzinho,"16,855",,,,,,,,,
AP,16,00808,Vitória do Jari,"15,605",,,,,,,,,
TO,17,00251,Abreulândia,"2,564",,,,,,,,,
TO,17,00301,Aguiarnópolis,"6,572",,,,,,,,,
TO,17,00350,Aliança do Tocantins,"5,434",,,,,,,,,
TO,17,00400,Almas,"7,131",,,,,,,,,
TO,17,00707,Alvorada,"8,427",,,,,,,,,
TO,17,01002,Ananás,"9,607",,,,,,,,,
TO,17,01051,Angico,"3,417",,,,,,,,,
TO,17,01101,Aparecida do Rio Negro,"4,741",,,,,,,,,
TO,17,01309,Aragominas,"5,786",,,,,,,,,
TO,17,01903,Araguacema,"7,016",,,,,,,,,
TO,17,02000,Araguaçu,"8,567",,,,,,,,,
TO,17,02109,Araguaína,"177,517",,,,,,,,,
TO,17,02158,Araguanã,"5,663",,,,,,,,,
TO,17,02208,Araguatins,"35,346",,,,,,,,,
TO,17,02307,Arapoema,"6,670",,,,,,,,,
TO,17,02406,Arraias,"10,601",,,,,,,,,
TO,17,02554,Augustinópolis,"18,178",,,,,,,,,
TO,17,02703,Aurora do Tocantins,"3,731",,,,,,,,,
TO,17,02901,Axixá do Tocantins,"9,725",,,,,,,,,
TO,17,03008,Babaçulândia,"10,662",,,,,,,,,
TO,17,03057,Bandeirantes do Tocantins,"3,512",,,,,,,,,
TO,17,03073,Barra do Ouro,"4,549",,,,,,,,,
TO,17,03107,Barrolândia,"5,614",,,,,,,,,
TO,17,03206,Bernardo Sayão,"4,469",,,,,,,,,
TO,17,03305,Bom Jesus do Tocantins,"4,779",,,,,,,,,
TO,17,03602,Brasilândia do Tocantins,"2,191",,,,,,,,,
TO,17,03701,Brejinho de Nazaré,"5,475",,,,,,,,,
TO,17,03800,Buriti do Tocantins,"11,197",,,,,,,,,
TO,17,03826,Cachoeirinha,"2,266",,,,,,,,,
TO,17,03842,Campos Lindos,"9,917",,,,,,,,,
TO,17,03867,Cariri do Tocantins,"4,321",,,,,,,,,
TO,17,03883,Carmolândia,"2,556",,,,,,,,,
TO,17,03891,Carrasco Bonito,"4,059",,,,,,,,,
TO,17,03909,Caseara,"5,295",,,,,,,,,
TO,17,04105,Centenário,"2,874",,,,,,,,,
TO,17,04600,Chapada de Areia,"1,401",,,,,,,,,
TO,17,05102,Chapada da Natividade,"3,334",,,,,,,,,
TO,17,05508,Colinas do Tocantins,"34,990",,,,,,,,,
TO,17,05557,Combinado,"4,843",,,,,,,,,
TO,17,05607,Conceição do Tocantins,"4,124",,,,,,,,,
TO,17,06001,Couto Magalhães,"5,536",,,,,,,,,
TO,17,06100,Cristalândia,"7,300",,,,,,,,,
TO,17,06258,Crixás do Tocantins,"1,708",,,,,,,,,
TO,17,06506,Darcinópolis,"6,018",,,,,,,,,
TO,17,07009,Dianópolis,"21,850",,,,,,,,,
TO,17,07108,Divinópolis do Tocantins,"6,856",,,,,,,,,
TO,17,07207,Dois Irmãos do Tocantins,"7,211",,,,,,,,,
TO,17,07306,Dueré,"4,687",,,,,,,,,
TO,17,07405,Esperantina,"10,851",,,,,,,,,
TO,17,07553,Fátima,"3,841",,,,,,,,,
TO,17,07652,Figueirópolis,"5,284",,,,,,,,,
TO,17,07702,Filadélfia,"8,837",,,,,,,,,
TO,17,08205,Formoso do Araguaia,"18,482",,,,,,,,,
TO,17,08254,Fortaleza do Tabocão,"2,576",,,,,,,,,
TO,17,08304,Goianorte,"5,116",,,,,,,,,
TO,17,09005,Goiatins,"12,942",,,,,,,,,
TO,17,09302,Guaraí,"25,677",,,,,,,,,
TO,17,09500,Gurupi,"85,737",,,,,,,,,
TO,17,09807,Ipueiras,"1,977",,,,,,,,,
TO,17,10508,Itacajá,"7,414",,,,,,,,,
TO,17,10706,Itaguatins,"5,896",,,,,,,,,
TO,17,10904,Itapiratins,"3,758",,,,,,,,,
TO,17,11100,Itaporã do Tocantins,"2,435",,,,,,,,,
TO,17,11506,Jaú do Tocantins,"3,819",,,,,,,,,
TO,17,11803,Juarina,"2,202",,,,,,,,,
TO,17,11902,Lagoa da Confusão,"13,034",,,,,,,,,
TO,17,11951,Lagoa do Tocantins,"4,237",,,,,,,,,
TO,17,12009,Lajeado,"3,101",,,,,,,,,
TO,17,12157,Lavandeira,"1,892",,,,,,,,,
TO,17,12405,Lizarda,"3,748",,,,,,,,,
TO,17,12454,Luzinópolis,"3,060",,,,,,,,,
TO,17,12504,Marianópolis do Tocantins,"5,094",,,,,,,,,
TO,17,12702,Mateiros,"2,638",,,,,,,,,
TO,17,12801,Maurilândia do Tocantins,"3,403",,,,,,,,,
TO,17,13205,Miracema do Tocantins,"18,566",,,,,,,,,
TO,17,13304,Miranorte,"13,375",,,,,,,,,
TO,17,13601,Monte do Carmo,"7,827",,,,,,,,,
TO,17,13700,Monte Santo do Tocantins,"2,263",,,,,,,,,
TO,17,13809,Palmeiras do Tocantins,"6,570",,,,,,,,,
TO,17,13957,Muricilândia,"3,514",,,,,,,,,
TO,17,14203,Natividade,"9,239",,,,,,,,,
TO,17,14302,Nazaré,"3,959",,,,,,,,,
TO,17,14880,Nova Olinda,"11,719",,,,,,,,,
TO,17,15002,Nova Rosalândia,"4,215",,,,,,,,,
TO,17,15101,Novo Acordo,"4,287",,,,,,,,,
TO,17,15150,Novo Alegre,"2,332",,,,,,,,,
TO,17,15259,Novo Jardim,"2,698",,,,,,,,,
TO,17,15507,Oliveira de Fátima,"1,106",,,,,,,,,
TO,17,15705,Palmeirante,"5,919",,,,,,,,,
TO,17,15754,Palmeirópolis,"7,641",,,,,,,,,
TO,17,16109,Paraíso do Tocantins,"50,602",,,,,,,,,
TO,17,16208,Paranã,"10,461",,,,,,,,,
TO,17,16307,Pau D'Arco,"4,831",,,,,,,,,
TO,17,16505,Pedro Afonso,"13,380",,,,,,,,,
TO,17,16604,Peixe,"11,623",,,,,,,,,
TO,17,16653,Pequizeiro,"5,443",,,,,,,,,
TO,17,16703,Colméia,"8,270",,,,,,,,,
TO,17,17008,Pindorama do Tocantins,"4,464",,,,,,,,,
TO,17,17206,Piraquê,"3,023",,,,,,,,,
