UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,
PA,15,04802,Monte Alegre,"58,162",,,,,,
PA,15,04901,Muaná,"40,906",,,,,,
PA,15,04950,Nova Esperança do Piriá,"21,444",,,,,,
PA,15,04976,Nova Ipixuna,"16,854",,,,,,
PA,15,05007,Nova Timboteua,"15,506",,,,,,
PA,15,05031,Novo Progresso,"25,766",,,,,,
PA,15,05064,Novo Repartimento,"77,214",,,,,,
PA,15,05106,Óbidos,"52,306",,,,,,
PA,15,05205,Oeiras do Pará,"32,850",,,,,,
PA,15,05304,Oriximiná,"74,016",,,,,,
PA,15,05403,Ourém,"17,961",,,,,,
PA,15,05437,Ourilândia do Norte,"33,335",,,,,,
PA,15,05486,Pacajá,"48,414",,,,,,
PA,15,05494,Palestina do Pará,"7,582",,,,,,
PA,15,05502,Paragominas,"114,503",,,,,,
PA,15,05536,Parauapebas,"213,576",,,,,,
PA,15,05551,Pau D'Arco,"5,410",,,,,,
PA,15,05601,Peixe-Boi,"8,081",,,,,,
PA,15,05635,Piçarra,"12,979",,,,,,
PA,15,05650,Placas,"31,659",,,,,,
PA,15,05700,Ponta de Pedras,"31,549",,,,,,
PA,15,05809,Portel,"62,945",,,,,,
PA,15,05908,Porto de Moz,"41,801",,,,,,
PA,15,06005,Prainha,"29,846",,,,,,
PA,15,06104,Primavera,"10,857",,,,,,
PA,15,06112,Quatipuru,"13,702",,,,,,
PA,15,06138,Redenção,"85,563",,,,,,
PA,15,06161,Rio Maria,"18,201",,,,,,
PA,15,06187,Rondon do Pará,"52,803",,,,,,
PA,15,06195,Rurópolis,"51,500",,,,,,
PA,15,06203,Salinópolis,"40,922",,,,,,
PA,15,06302,Salvaterra,"24,075",,,,,,
PA,15,06351,Santa Bárbara do Pará,"21,449",,,,,,
PA,15,06401,Santa Cruz do Arari,"10,314",,,,,,
PA,15,06500,Santa Izabel do Pará,"71,837",,,,,,
PA,15,06559,Santa Luzia do Pará,"19,843",,,,,,
PA,15,06583,Santa Maria das Barreiras,"21,850",,,,,,
PA,15,06609,Santa Maria do Pará,"24,995",,,,,,
PA,15,06708,Santana do Araguaia,"74,419",,,,,,
PA,15,06807,Santarém,"306,480",,,,,,
PA,15,06906,Santarém Novo,"6,753",,,,,,
PA,15,07003,Santo Antônio do Tauá,"31,918",,,,,,
PA,15,07102,São Caetano de Odivelas,"18,129",,,,,,
PA,15,07151,São Domingos do Araguaia,"25,753",,,,,,
PA,15,07201,São Domingos do Capim,"32,139",,,,,,
PA,15,07300,São Félix do Xingu,"132,138",,,,,,
PA,15,07409,São Francisco do Pará,"15,930",,,,,,
PA,15,07458,São Geraldo do Araguaia,"24,705",,,,,,
PA,15,07466,São João da Ponta,"6,217",,,,,,
PA,15,07474,São João de Pirabas,"23,244",,,,,,
PA,15,07508,São João do Araguaia,"14,051",,,,,,
PA,15,07607,São Miguel do Guamá,"59,632",,,,,,
PA,15,07706,São Sebastião da Boa Vista,"26,974",,,,,,
PA,15,07755,Sapucaia,"6,009",,,,,,
PA,15,07805,Senador José Porfírio,"11,480",,,,,,
PA,15,07904,Soure,"25,565",,,,,,
PA,15,07953,Tailândia,"108,969",,,,,,
PA,15,07961,Terra Alta,"11,847",,,,,,
PA,15,07979,Terra Santa,"18,917",,,,,,
PA,15,08001,Tomé-Açu,"64,030",,,,,,
PA,15,08035,Tracuateua,"31,257",,,,,,
PA,15,08050,Trairão,"19,168",,,,,,
PA,15,08084,Tucumã,"40,136",,,,,,
PA,15,08100,Tucuruí,"115,144",,,,,,
PA,15,08126,Ulianópolis,"60,761",,,,,,
PA,15,08159,Uruará,"45,435",,,,,,
PA,15,08209,Vigia,"54,172",,,,,,
PA,15,08308,Viseu,"61,751",,,,,,
PA,15,08357,Vitória do Xingu,"15,279",,,,,,
PA,15,08407,Xinguara,"45,086",,,,,,
AP,16,00055,Serra do Navio,"5,488",,,,,,
AP,16,00105,Amapá,"9,187",,,,,,
AP,16,00154,Pedra Branca do Amapari,"17,067",,,,,,
AP,16,00204,Calçoene,"11,306",,,,,,
AP,16,00212,Cutias,"6,101",,,,,,
AP,16,00238,Ferreira Gomes,"7,967",,,,,,
AP,16,00253,Itaubal,"5,617",,,,,,
AP,16,00279,Laranjal do Jari,"51,362",,,,,,
AP,16,00303,Macapá,"512,902",,,,,,
AP,16,00402,Mazagão,"22,053",,,,,,
AP,16,00501,Oiapoque,"27,906",,,,,,
AP,16,00535,Porto Grande,"22,452",,,,,,
AP,16,00550,Pracuúba,"5,246",,,,,,
AP,16,00600,Santana,"123,096",,,,,,
AP,16,00709,Tartarugalzinho,"17,769",,,,,,
AP,16,00808,Vitória do Jari,"16,254",,,,,,
TO,17,00251,Abreulândia,"2,594",,,,,,
TO,17,00301,Aguiarnópolis,"6,892",,,,,,
TO,17,00350,Aliança do Tocantins,"5,346",,,,,,
